repo,metric,date,value,source
https://codeberg.org/guix/guix,commit,2026-08-18,2026-08-18,sample
https://codeberg.org/guix/guix,release,2026-08-13,2026-01-21,sample
https://codeberg.org/guix/guix,release_source,2026-08-13,tag,sample
https://codeberg.org/guix/guix,stars,2023-06-22,0,created
https://codeberg.org/guix/guix,stars,2026-08-13,897,sample
https://codeberg.org/guix/guix,stars,2026-08-17,909,sample
https://codeberg.org/guix/guix,stars,2026-08-18,909,sample
https://github.com/E5ten/pacaur,commit,2026-08-13,2021-04-22,sample
https://github.com/E5ten/pacaur,release,2026-08-13,2019-04-01,sample
https://github.com/E5ten/pacaur,release_source,2026-08-13,tag,sample
https://github.com/E5ten/pacaur,stars,2018-10-12,0,created
https://github.com/E5ten/pacaur,stars,2026-08-13,116,sample
https://github.com/E5ten/pacaur,stars,2026-08-17,116,sample
https://github.com/E5ten/pacaur,stars,2026-08-18,116,sample
https://github.com/HaxeFoundation/haxelib,commit,2026-08-13,2026-01-10,sample
https://github.com/HaxeFoundation/haxelib,release,2026-08-13,2025-07-14,sample
https://github.com/HaxeFoundation/haxelib,release_source,2026-08-13,release,sample
https://github.com/HaxeFoundation/haxelib,stars,2013-03-14,0,created
https://github.com/HaxeFoundation/haxelib,stars,2026-08-13,195,sample
https://github.com/HaxeFoundation/haxelib,stars,2026-08-17,195,sample
https://github.com/HaxeFoundation/haxelib,stars,2026-08-18,195,sample
https://github.com/Homebrew/brew,commit,2026-08-17,2026-08-17,sample
https://github.com/Homebrew/brew,release,2026-08-17,2026-08-17,sample
https://github.com/Homebrew/brew,release_source,2026-08-13,release,sample
https://github.com/Homebrew/brew,stars,2016-03-06,0,created
https://github.com/Homebrew/brew,stars,2026-08-13,49145,sample
https://github.com/Homebrew/brew,stars,2026-08-17,49185,sample
https://github.com/Homebrew/brew,stars,2026-08-18,49188,sample
https://github.com/Homebrew/homebrew-cask,commit,2026-08-18,2026-08-18,sample
https://github.com/Homebrew/homebrew-cask,release,2026-08-13,2016-01-11,sample
https://github.com/Homebrew/homebrew-cask,release_source,2026-08-13,release,sample
https://github.com/Homebrew/homebrew-cask,stars,2012-03-05,0,created
https://github.com/Homebrew/homebrew-cask,stars,2026-08-13,22165,sample
https://github.com/Homebrew/homebrew-cask,stars,2026-08-17,22170,sample
https://github.com/Homebrew/homebrew-cask,stars,2026-08-18,22168,sample
https://github.com/Jguer/yay,commit,2026-08-13,2026-08-07,sample
https://github.com/Jguer/yay,release,2026-08-13,2026-06-19,sample
https://github.com/Jguer/yay,release_source,2026-08-13,release,sample
https://github.com/Jguer/yay,stars,2016-09-05,0,created
https://github.com/Jguer/yay,stars,2026-08-13,13674,sample
https://github.com/Jguer/yay,stars,2026-08-17,13683,sample
https://github.com/Jguer/yay,stars,2026-08-18,13684,sample
https://github.com/JuliaLang/juliaup,commit,2026-08-17,2026-08-17,sample
https://github.com/JuliaLang/juliaup,release,2026-08-18,2026-08-17,sample
https://github.com/JuliaLang/juliaup,release_source,2026-08-13,tag,sample
https://github.com/JuliaLang/juliaup,stars,2020-06-19,0,created
https://github.com/JuliaLang/juliaup,stars,2026-08-13,1295,sample
https://github.com/JuliaLang/juliaup,stars,2026-08-17,1295,sample
https://github.com/JuliaLang/juliaup,stars,2026-08-18,1295,sample
https://github.com/MiKTeX/miktex,commit,2026-08-17,2026-08-02,sample
https://github.com/MiKTeX/miktex,release,2026-08-17,2026-05-14,sample
https://github.com/MiKTeX/miktex,release_source,2026-08-17,release,sample
https://github.com/MiKTeX/miktex,stars,2016-06-24,0,created
https://github.com/MiKTeX/miktex,stars,2026-08-17,975,sample
https://github.com/MiKTeX/miktex,stars,2026-08-18,974,sample
https://github.com/MordechaiHadad/bob,commit,2026-08-17,2026-08-10,sample
https://github.com/MordechaiHadad/bob,release,2026-08-17,2026-08-10,sample
https://github.com/MordechaiHadad/bob,release_source,2026-08-17,tag,sample
https://github.com/MordechaiHadad/bob,stars,2022-02-06,0,created
https://github.com/MordechaiHadad/bob,stars,2026-08-17,2136,sample
https://github.com/MordechaiHadad/bob,stars,2026-08-18,2136,sample
https://github.com/Morganamilo/paru,commit,2026-08-13,2026-01-09,sample
https://github.com/Morganamilo/paru,release,2026-08-13,2025-07-08,sample
https://github.com/Morganamilo/paru,release_source,2026-08-13,release,sample
https://github.com/Morganamilo/paru,stars,2020-08-05,0,created
https://github.com/Morganamilo/paru,stars,2026-08-13,8939,sample
https://github.com/Morganamilo/paru,stars,2026-08-17,8940,sample
https://github.com/Morganamilo/paru,stars,2026-08-18,8943,sample
https://github.com/NetBSDfr/pkgin,commit,2026-08-13,2026-06-18,sample
https://github.com/NetBSDfr/pkgin,release,2026-08-13,2026-04-20,sample
https://github.com/NetBSDfr/pkgin,release_source,2026-08-13,tag,sample
https://github.com/NetBSDfr/pkgin,stars,2013-04-10,0,created
https://github.com/NetBSDfr/pkgin,stars,2026-08-13,150,sample
https://github.com/NetBSDfr/pkgin,stars,2026-08-17,151,sample
https://github.com/NetBSDfr/pkgin,stars,2026-08-18,151,sample
https://github.com/NixOS/nix,commit,2026-08-17,2026-08-17,sample
https://github.com/NixOS/nix,release,2026-08-13,2026-08-12,sample
https://github.com/NixOS/nix,release_source,2026-08-13,tag,sample
https://github.com/NixOS/nix,stars,2012-02-08,0,created
https://github.com/NixOS/nix,stars,2026-08-13,17502,sample
https://github.com/NixOS/nix,stars,2026-08-17,17514,sample
https://github.com/NixOS/nix,stars,2026-08-18,17517,sample
https://github.com/PackageKit/PackageKit,commit,2026-08-17,2026-08-17,sample
https://github.com/PackageKit/PackageKit,release,2026-08-13,2026-06-16,sample
https://github.com/PackageKit/PackageKit,release_source,2026-08-13,tag,sample
https://github.com/PackageKit/PackageKit,stars,2014-09-09,0,created
https://github.com/PackageKit/PackageKit,stars,2026-08-13,345,sample
https://github.com/PackageKit/PackageKit,stars,2026-08-17,345,sample
https://github.com/PackageKit/PackageKit,stars,2026-08-18,346,sample
https://github.com/PowerShell/PSResourceGet,commit,2026-08-17,2026-08-13,sample
https://github.com/PowerShell/PSResourceGet,release,2026-08-13,2026-05-20,sample
https://github.com/PowerShell/PSResourceGet,release_source,2026-08-13,tag,sample
https://github.com/PowerShell/PSResourceGet,stars,2020-03-18,0,created
https://github.com/PowerShell/PSResourceGet,stars,2026-08-13,570,sample
https://github.com/PowerShell/PSResourceGet,stars,2026-08-17,571,sample
https://github.com/PowerShell/PSResourceGet,stars,2026-08-18,571,sample
https://github.com/ScoopInstaller/Scoop,commit,2026-08-13,2025-08-12,sample
https://github.com/ScoopInstaller/Scoop,release,2026-08-13,2025-08-12,sample
https://github.com/ScoopInstaller/Scoop,release_source,2026-08-13,release,sample
https://github.com/ScoopInstaller/Scoop,stars,2013-05-11,0,created
https://github.com/ScoopInstaller/Scoop,stars,2026-08-13,24544,sample
https://github.com/ScoopInstaller/Scoop,stars,2026-08-17,24552,sample
https://github.com/ScoopInstaller/Scoop,stars,2026-08-18,24551,sample
https://github.com/TeX-Live/texlive-source,commit,2026-08-18,2026-08-17,sample
https://github.com/TeX-Live/texlive-source,release,2026-08-13,2026-03-17,sample
https://github.com/TeX-Live/texlive-source,release_source,2026-08-13,tag,sample
https://github.com/TeX-Live/texlive-source,stars,2018-01-19,0,created
https://github.com/TeX-Live/texlive-source,stars,2026-08-13,358,sample
https://github.com/TeX-Live/texlive-source,stars,2026-08-17,359,sample
https://github.com/TeX-Live/texlive-source,stars,2026-08-18,359,sample
https://github.com/VSCodium/vscodium,commit,2026-08-13,2026-08-06,sample
https://github.com/VSCodium/vscodium,release,2026-08-13,2026-07-07,sample
https://github.com/VSCodium/vscodium,release_source,2026-08-13,release,sample
https://github.com/VSCodium/vscodium,stars,2018-08-13,0,created
https://github.com/VSCodium/vscodium,stars,2026-08-13,32808,sample
https://github.com/VSCodium/vscodium,stars,2026-08-17,32856,sample
https://github.com/VSCodium/vscodium,stars,2026-08-18,32859,sample
https://github.com/XcodesOrg/xcodes,commit,2026-08-13,2026-07-08,sample
https://github.com/XcodesOrg/xcodes,release,2026-08-13,2026-07-08,sample
https://github.com/XcodesOrg/xcodes,release_source,2026-08-13,release,sample
https://github.com/XcodesOrg/xcodes,stars,2019-02-22,0,created
https://github.com/XcodesOrg/xcodes,stars,2026-08-13,4749,sample
https://github.com/XcodesOrg/xcodes,stars,2026-08-17,4752,sample
https://github.com/XcodesOrg/xcodes,stars,2026-08-18,4753,sample
https://github.com/actionless/pikaur,commit,2026-08-13,2026-03-07,sample
https://github.com/actionless/pikaur,release,2026-08-13,2026-03-07,sample
https://github.com/actionless/pikaur,release_source,2026-08-13,release,sample
https://github.com/actionless/pikaur,stars,2018-01-29,0,created
https://github.com/actionless/pikaur,stars,2026-08-13,953,sample
https://github.com/actionless/pikaur,stars,2026-08-17,953,sample
https://github.com/actionless/pikaur,stars,2026-08-18,954,sample
https://github.com/andk/cpanpm,commit,2026-08-13,2026-07-16,sample
https://github.com/andk/cpanpm,release,2026-08-13,2026-05-24,sample
https://github.com/andk/cpanpm,release_source,2026-08-13,tag,sample
https://github.com/andk/cpanpm,stars,2008-12-10,0,created
https://github.com/andk/cpanpm,stars,2026-08-13,90,sample
https://github.com/andk/cpanpm,stars,2026-08-17,90,sample
https://github.com/andk/cpanpm,stars,2026-08-18,90,sample
https://github.com/asdf-vm/asdf,commit,2026-08-13,2026-08-12,sample
https://github.com/asdf-vm/asdf,release,2026-08-13,2026-07-07,sample
https://github.com/asdf-vm/asdf,release_source,2026-08-13,release,sample
https://github.com/asdf-vm/asdf,stars,2014-11-29,0,created
https://github.com/asdf-vm/asdf,stars,2026-08-13,25520,sample
https://github.com/asdf-vm/asdf,stars,2026-08-17,25532,sample
https://github.com/asdf-vm/asdf,stars,2026-08-18,25534,sample
https://github.com/astral-sh/uv,commit,2026-08-17,2026-08-17,sample
https://github.com/astral-sh/uv,release,2026-08-17,2026-08-14,sample
https://github.com/astral-sh/uv,release_source,2026-08-13,release,sample
https://github.com/astral-sh/uv,stars,2023-10-02,0,created
https://github.com/astral-sh/uv,stars,2026-08-13,88712,sample
https://github.com/astral-sh/uv,stars,2026-08-17,88811,sample
https://github.com/astral-sh/uv,stars,2026-08-18,88820,sample
https://github.com/atom/apm,commit,2026-08-13,2022-09-28,sample
https://github.com/atom/apm,release,2026-08-13,2021-06-21,sample
https://github.com/atom/apm,release_source,2026-08-13,tag,sample
https://github.com/atom/apm,stars,2013-05-07,0,created
https://github.com/atom/apm,stars,2026-08-13,1268,sample
https://github.com/atom/apm,stars,2026-08-17,1268,sample
https://github.com/atom/apm,stars,2026-08-18,1268,sample
https://github.com/bpkg/bpkg,commit,2026-08-17,2023-09-19,sample
https://github.com/bpkg/bpkg,release,2026-08-17,2023-03-12,sample
https://github.com/bpkg/bpkg,release_source,2026-08-17,tag,sample
https://github.com/bpkg/bpkg,stars,2014-05-22,0,created
https://github.com/bpkg/bpkg,stars,2026-08-17,1974,sample
https://github.com/bpkg/bpkg,stars,2026-08-18,1974,sample
https://github.com/canonical/snapd,commit,2026-08-18,2026-08-18,sample
https://github.com/canonical/snapd,release,2026-08-13,2026-08-11,sample
https://github.com/canonical/snapd,release_source,2026-08-13,release,sample
https://github.com/canonical/snapd,stars,2015-10-21,0,created
https://github.com/canonical/snapd,stars,2026-08-13,2039,sample
https://github.com/canonical/snapd,stars,2026-08-17,2039,sample
https://github.com/canonical/snapd,stars,2026-08-18,2039,sample
https://github.com/chocolatey/choco,commit,2026-08-13,2026-08-05,sample
https://github.com/chocolatey/choco,release,2026-08-13,2026-08-05,sample
https://github.com/chocolatey/choco,release_source,2026-08-13,tag,sample
https://github.com/chocolatey/choco,stars,2014-12-30,0,created
https://github.com/chocolatey/choco,stars,2026-08-13,11485,sample
https://github.com/chocolatey/choco,stars,2026-08-17,11486,sample
https://github.com/chocolatey/choco,stars,2026-08-18,11487,sample
https://github.com/chromebrew/chromebrew,commit,2026-08-17,2026-08-17,sample
https://github.com/chromebrew/chromebrew,release,2026-08-13,2017-01-13,sample
https://github.com/chromebrew/chromebrew,release_source,2026-08-13,release,sample
https://github.com/chromebrew/chromebrew,stars,2013-08-05,0,created
https://github.com/chromebrew/chromebrew,stars,2026-08-13,2497,sample
https://github.com/chromebrew/chromebrew,stars,2026-08-17,2500,sample
https://github.com/chromebrew/chromebrew,stars,2026-08-18,2499,sample
https://github.com/clearlinux/swupd-client,commit,2026-08-13,2025-08-07,sample
https://github.com/clearlinux/swupd-client,release,2026-08-13,2025-04-24,sample
https://github.com/clearlinux/swupd-client,release_source,2026-08-13,release,sample
https://github.com/clearlinux/swupd-client,stars,2016-02-24,0,created
